num_feat1,num_feat2,num_feat3,cat_feat1,cat_feat2,cat_feat3,num_feat4,num_feat5,Result
2,1.5,1,1,6,3,4,0,0
2,1.5,1,1,5,2,3,0,0
2,2.0,0,0,5,2,5,1,1
2,1.5,1,0,7,5,3,0,0
2,2.0,0,0,8,0,3,0,0
2,2.0,0,0,9,2,5,0,0
2,1.5,1,1,6,0,1,0,0
2,2.5,1,0,10,9,5,1,1
2,2.0,2,0,10,2,5,2,1
2,1.5,1,0,7,0,5,2,1
3,6.333333333333332,4,0,5,0,5,2,1
3,6.666666666666668,4,1,6,3,5,2,1
3,6.333333333333332,4,0,7,0,5,3,1
3,6.333333333333332,4,0,4,4,1,0,0
4,8.0,8,0,9,0,3,1,0
4,7.5,7,0,5,9,4,0,0
4,7.5,7,0,1,2,5,4,1
4,7.25,7,1,1,9,5,2,1
3,5.333333333333333,3,0,8,4,5,2,1
1,4.0,0,0,0,7,2,0,0
1,4.0,0,0,5,0,5,1,1
3,5.333333333333333,3,0,1,8,4,0,0
3,5.333333333333333,3,0,12,3,5,3,1
3,5.0,4,0,8,0,5,3,1
3,5.333333333333333,3,0,9,2,2,0,0
3,5.333333333333333,3,0,5,0,5,3,1
3,4.333333333333333,3,0,9,0,4,0,0
3,4.333333333333333,3,0,5,0,4,0,0
3,4.333333333333333,3,0,9,2,5,3,1
2,4.5,3,0,4,3,1,0,0
2,4.5,3,0,7,5,4,1,1
2,4.5,3,0,9,0,5,0,0
2,4.5,3,0,9,8,5,0,0
2,4.5,3,0,7,2,5,1,1
2,4.5,3,0,8,1,0,0,0
2,4.5,3,0,5,2,5,2,1
2,4.5,3,0,1,9,1,0,0
2,4.5,3,1,0,9,5,2,1
2,4.5,3,1,1,3,2,0,0
3,4.333333333333333,3,0,2,6,5,3,1
3,4.333333333333333,3,0,7,9,3,0,0
2,5.0,2,0,9,0,5,2,1
2,5.0,2,0,11,6,4,0,0
2,4.5,3,0,0,7,5,1,1
4,5.75,8,0,1,0,5,1,0
4,6.0,9,0,9,6,5,2,1
3,3.6666666666666665,1,0,0,8,5,3,1
2,7.5,7,0,1,4,4,1,1
2,7.5,7,0,10,7,0,0,0
2,2.0,2,0,8,4,5,1,1
